path,size_bytes,word_count,line_count
CLAUDE.md,72388,9471,1969
LANG_PLACEHOLDER_FIX.md,2887,360,77
M-DX1-COMPLETION-ANNOUNCEMENT.md,7963,1179,261
M-DX1-FINAL-SUMMARY.md,11707,1802,396
M-DX1-PROGRESS-REPORT.md,9345,1303,315
M-DX1-SESSION-SUMMARY.md,10566,1499,351
M-DX4-AUDIT-FINDINGS.md,10126,1396,282
M-DX4-COMPLETION-SUMMARY.md,7379,1011,213
M-DX4-IMPLEMENTATION-REPORT.md,11787,1642,318
M-DX8-PHASE1-QUICK-WINS.md,5691,815,180
M-EVAL-HTTP-FIX-FINDINGS.md,9384,1156,250
M-POLY-A-DAY5-FINDINGS.md,23653,3146,701
M-POLY-A-TEST-SUMMARY.md,6010,801,230
M-POLY-B-PHASE1-COMPLETE.md,10280,1391,312
M-POLY-B-PHASE1-COMPLETION-REPORT.md,13935,1992,496
M-POLY-B-PHASE1-STABILITY-REPORT.md,7819,1064,291
MILESTONE_1_COMPLETE.md,6252,767,164
MILESTONE_2_COMPLETE.md,7296,953,200
MILESTONE_3_COMPLETE.md,7904,958,245
README.md,18415,2432,495
SELF_REPAIR_DISCOVERY.md,6804,938,180
VISION_BENCHMARK_RESULTS.md,12130,1700,356
WASM_DEPLOYMENT.md,6269,816,235
benchmark/README.md,46,7,1
benchmarks/README.md,13284,1814,395
benchmarks/VISION_BENCHMARKS.md,11803,1507,427
coverage.txt,5,1,1
design_docs/PLANNED_DOCS_REVIEW.md,14426,1742,453
design_docs/README.md,4665,607,128
design_docs/archive/M-AGENT-PROTOCOL-AUDIT.md,13765,1882,430
design_docs/archive/M-CLAUDE-CODE-HEADLESS.md,15126,1941,620
design_docs/archive/M-CLAUDE-CODE-INTEGRATION.md,38429,4727,1296
design_docs/archive/README.md,1245,175,23
design_docs/archive/agent_system_records/AGENT_BRIDGE_EXPLAINED.md,15969,1236,403
design_docs/archive/agent_system_records/AGENT_HANDLERS_EXPLAINED.md,8519,1082,308
design_docs/archive/agent_system_records/AGENT_MIGRATION.md,17349,1832,741
design_docs/archive/agent_system_records/AGENT_PROTOCOL_COMPLETE.md,16670,1999,633
design_docs/archive/agent_system_records/AGENT_SYSTEM_COMPLETE.md,12911,1544,466
design_docs/archive/agent_system_records/AGENT_SYSTEM_VALIDATION.md,12626,1695,411
design_docs/archive/analysis/20251008_compile_error_ailang_compilation_failures.md,8468,1072,358
design_docs/archive/analysis/EVAL_ANALYSIS_2025-10-15.md,14020,2049,496
design_docs/archive/analysis/EVAL_COMPARISON_2025-10-15.md,9376,1279,343
design_docs/archive/analysis/TRIAGE_REPORT_2025-10-15.md,8453,1079,238
design_docs/archive/analysis/v0_3_14_tier0_completion.md,14928,2033,482
design_docs/archive/bugs/io_output_debugging.md,6619,928,260
design_docs/archive/records/20251008_script_mode_OBSOLETE.md,9872,1392,180
design_docs/archive/records/M-EVAL-ENHANCE_ai_optimized_harness.md,47150,4944,1471
design_docs/archive/records/M-R5_future_enhancements.md,9767,1523,381
design_docs/archive/records/m_eval2_agentic.md,16706,2110,615
design_docs/archive/records/roadmap_v0_3_8.md,17738,2336,619
design_docs/archive/records/roadmap_v0_4_0.md,14684,2106,548
design_docs/archive/rejected/m-generics-explicit-type-parameters.md,10889,1640,348
design_docs/implemented/BULLETPROOF_SUMMARY.md,12932,1804,431
design_docs/implemented/DEDUP_IMPLEMENTATION.md,8427,1151,322
design_docs/implemented/ENHANCEMENT_dedup_design_docs.md,3449,461,110
design_docs/implemented/IMPLEMENTATION_SUMMARY.md,8068,1060,284
design_docs/implemented/M-EVAL-LOOP_self_improving_feedback.md,62544,7671,2228
design_docs/implemented/M-LANG-JSON-DECODE.md,40096,5021,1157
design_docs/implemented/eval-dashboard-reliability.md,17979,2122,621
design_docs/implemented/m-lang-show-function.md,14573,1917,511
design_docs/implemented/v0_0_12/function_body_blocks.md,9609,1377,374
design_docs/implemented/v0_0_3/V0_0_3_IMPLEMENTATION_REPORT.md,6849,843,237
design_docs/implemented/v0_0_3/gpt-5-appendix.md,7840,1272,251
design_docs/implemented/v0_0_3/gpt5-reference-code.md,10205,1451,374
design_docs/implemented/v0_0_3/initial_design.md,22412,3274,889
design_docs/implemented/v0_0_4/V0_0_4_IMPLEMENTATION_REPORT.md,12452,1531,374
design_docs/implemented/v0_2_0/M-P1.md,23445,3237,582
design_docs/implemented/v0_2_0/M-P2-progress.md,11242,1619,373
design_docs/implemented/v0_2_0/M-P2.md,25782,3378,964
design_docs/implemented/v0_2_0/M-P3.md,30772,4149,836
design_docs/implemented/v0_2_0/M-P4.md,18221,2512,513
design_docs/implemented/v0_2_0/M-P5_PATTERN_MATCHING_FIX.md,26891,3545,963
design_docs/implemented/v0_2_0/M-S1-B.md,10467,1402,358
design_docs/implemented/v0_2_0/M-S1-polish.md,26894,3653,887
design_docs/implemented/v0_2_0/M-S1.md,10496,1314,211
design_docs/implemented/v0_2_0/M-S1_CURRENT_STATUS.md,7054,1001,209
design_docs/implemented/v0_2_0/M-S1_STDLIB_STATUS.md,9573,1417,259
design_docs/implemented/v0_2_0/PARSER_NEXT_STEPS.md,8876,1197,334
design_docs/implemented/v0_2_0/ai_enhanced_design.md,43114,6005,1320
design_docs/implemented/v0_2_0/gpt-5-feedback.md,15357,2184,404
design_docs/implemented/v0_2_0/m_r1_module_execution.md,28344,3720,945
design_docs/implemented/v0_2_0/m_r2_effect_system.md,23838,3068,929
design_docs/implemented/v0_2_0/m_r3_pattern_matching.md,18301,2233,769
design_docs/implemented/v0_2_0/m_r3_pattern_matching_20251002.md,19941,2425,798
design_docs/implemented/v0_2_0/milestonea2.md,6672,791,171
design_docs/implemented/v0_2_0/self-improvement-goal.md,12241,1690,334
design_docs/implemented/v0_2_0/sprint_2025w40_m_r1_phase5.md,22906,2876,667
design_docs/implemented/v0_2_0/sprint_2025w40_m_r1_phase5_refined.md,14385,1923,457
design_docs/implemented/v0_2_0/v0_1_0_mvp_roadmap.md,37508,5530,991
design_docs/implemented/v0_2_0/v0_2_0_implementation_plan.md,24444,3361,673
design_docs/implemented/v0_2_0/when-to-switch-from-go.md,4627,657,80
design_docs/implemented/v0_3/20251010_float_equality_oplowering_fix.md,9532,1274,304
design_docs/implemented/v0_3/20251013_letrec_surface_syntax.md,7244,1075,250
design_docs/implemented/v0_3/20251013_next_steps_audit.md,12744,1896,358
design_docs/implemented/v0_3/20251013_next_steps_audit_COMPLETED.md,10216,1519,315
design_docs/implemented/v0_3/20251013_numeric_coercion.md,7019,1035,256
design_docs/implemented/v0_3/202510_regression_fix.md,5085,675,129
design_docs/implemented/v0_3/FLOAT_EQUALITY_INVESTIGATION_2025-10-10.md,7374,989,218
design_docs/implemented/v0_3/M-R5b_record_extension.md,26462,3632,958
design_docs/implemented/v0_3/M-R6_clock_net_effects.md,43213,5266,1276
design_docs/implemented/v0_3/M-REPL0_basic_stabilization.md,7414,1005,277
design_docs/implemented/v0_3/dashboard-workflow-improvements.md,10592,1464,289
design_docs/implemented/v0_3/python_runtime_errors_RESOLVED.md,16827,2354,661
design_docs/implemented/v0_3_0/M-R4_recursion.md,20383,2675,628
design_docs/implemented/v0_3_0/M-R5_records.md,21013,2907,665
design_docs/implemented/v0_3_0/M-R7_type_fixes.md,10563,1538,360
design_docs/implemented/v0_3_0/M-R8_block_expressions.md,11867,1764,505
design_docs/implemented/v0_3_0/m_eval_ai_benchmarking.md,7501,1051,278
design_docs/implemented/v0_3_0/v0_3_0_implementation_plan.md,34277,5073,815
design_docs/implemented/v0_3_10/M-DASH.md,23334,2822,787
design_docs/implemented/v0_3_10/M-DX1_developer_experience.md,54681,6767,1988
design_docs/implemented/v0_3_10/m-dx1-builtin-migration.md,11189,1419,333
design_docs/implemented/v0_3_10/m-dx1-day3-polish.md,8312,1147,310
design_docs/implemented/v0_3_10/m-dx1-future-polish.md,7088,1036,258
design_docs/implemented/v0_3_14/QUICK_REFERENCE.md,3820,523,141
design_docs/implemented/v0_3_14/agent-inbox-acknowledgment.md,9895,1284,276
design_docs/implemented/v0_3_14/agent-inbox-sessionstart-hook.md,1855,258,55
design_docs/implemented/v0_3_14/list_pattern_spread.md,10584,1479,437
design_docs/implemented/v0_3_14/tier0_completion_summary.md,10278,1458,332
design_docs/implemented/v0_3_15/m-dx9-parser-developer-experience.md,21163,2912,586
design_docs/implemented/v0_3_16/lambda-expressions-example-refactor.md,22794,3334,801
design_docs/implemented/v0_3_16/list-concatenation-operator-fix.md,10143,1338,309
design_docs/implemented/v0_3_16/m-eval-round-robin.md,10294,1392,314
design_docs/implemented/v0_3_17/20251022_compile_error_ailang_compilation_failures.md,17331,2187,584
design_docs/implemented/v0_3_17/M-COMPILE-ERROR-SPRINT.md,13662,1953,350
design_docs/implemented/v0_3_18/M-DX4-SPRINT-PLAN-REFINED.md,23462,3172,626
design_docs/implemented/v0_3_18/M-DX4-SPRINT-PLAN.md,25079,3788,510
design_docs/implemented/v0_3_18/m-dx4-coretypeinfo-completeness.md,8828,1300,224
design_docs/implemented/v0_3_20/M-CLAUDE-CODE-INTEGRATION-HOOKS.md,11790,1602,434
design_docs/implemented/v0_3_22/M-EVAL-HTTP-FIX-sprint-plan.md,15552,2256,418
design_docs/implemented/v0_3_23/M-JSON-ENCODE-BUILTIN.md,13255,1680,432
design_docs/implemented/v0_3_23/M-JSON-ENCODE-sprint-plan.md,13975,1927,448
design_docs/implemented/v0_3_5/ai_usability_assessment.md,10447,1654,371
design_docs/implemented/v0_3_5/v0_3_5_functional_completeness.md,19041,2899,646
design_docs/implemented/v0_3_6/ai_usability_improvements_v0_3_6.md,20426,2931,657
design_docs/implemented/v0_3_9/20251015_ai_agent_calls.md,21091,2906,643
design_docs/implemented/v0_3_9/m-json-convenience-builders.md,9319,1230,370
design_docs/implemented/v3_2/3_2_roadmap.md,6987,1018,136
design_docs/implemented/v3_2/design_3_2.md,5634,726,234
design_docs/implemented/v3_2/implementation_report.md,6306,831,177
design_docs/planned/20251013_auto_caps_capability_inference.md,20353,2358,666
design_docs/planned/20251027_runtime_error_python_runtime_errors.md,2970,326,182
design_docs/planned/EVAL_ANALYSIS_20251022.md,753,90,34
design_docs/planned/EVAL_ANALYSIS_20251027.md,835,103,39
design_docs/planned/M-AGENT-PROTOCOL.md,51709,6163,1693
design_docs/planned/M-CLAUDE-CODE-HEADLESS-sprint-plan.md,13713,1942,448
design_docs/planned/M-CLAUDE-CODE-INTEGRATION.md,2371,272,85
design_docs/planned/M-EVAL-AGENT-QUEUE.md,10957,1368,357
design_docs/planned/M-EVAL-AGENT.md,37771,4818,1081
design_docs/planned/M-EVAL_comprehensive_harness.md,52156,5662,1634
design_docs/planned/M-IMPORT-BUG-module-import-resolution.md,10000,1305,397
design_docs/planned/M-REPL1_persistent_bindings.md,12119,1608,385
design_docs/planned/M-TOOLING-DETERMINISTIC.md,28433,3325,898
design_docs/planned/M-UX2_dev_experience_polish.md,15262,2091,458
design_docs/planned/design-doc-prioritization-2025-10-22.md,13681,1907,366
design_docs/planned/example_promotion_opportunities.md,7156,926,280
design_docs/planned/v0.4-roadmap-summary.md,8060,1116,203
design_docs/planned/v0.4-roadmap.md,23450,3219,708
design_docs/planned/v0_3_15/m-agent-usability-fixes.md,9924,1377,262
design_docs/planned/v0_3_15/m-dx5-inference-visibility.md,11891,1734,298
design_docs/planned/v0_3_15/m-dx6-repl-file-unification.md,12157,1735,318
design_docs/planned/v0_3_16/DEFERRED_FEATURES_v0316.md,7417,958,209
design_docs/planned/v0_3_16/M-DX2-COMPLETE.md,12636,1595,379
design_docs/planned/v0_3_16/M-DX2-GOLDEN-TEST.md,5143,685,187
design_docs/planned/v0_3_16/M-DX2-M1-COMPLETE.md,8402,1086,229
design_docs/planned/v0_3_16/M-DX2-M2-COMPLETE.md,5423,756,170
design_docs/planned/v0_3_16/M-DX2-M3-COMPLETE.md,9930,1433,338
design_docs/planned/v0_3_16/M-DX2-M4-COMPLETE.md,13179,1834,422
design_docs/planned/v0_3_16/M-DX2-SPRINT-PLAN.md,16607,2521,459
design_docs/planned/v0_3_16/dx-tools-documentation-audit.md,23199,3164,626
design_docs/planned/v0_3_16/example-parity-vision-alignment.md,25487,3715,696
design_docs/planned/v0_3_16/m-dx2-operator-development-experience.md,21925,3069,546
design_docs/planned/v0_3_17/M-DX3-sprint-plan.md,10642,1548,279
design_docs/planned/v0_3_17/m-dx1-day3-polish.md,16884,2354,486
design_docs/planned/v0_3_17/m-dx3-lambda-dx-fixes.md,14273,2167,396
design_docs/planned/v0_3_17/type-guided-operator-lowering.md,6905,930,225
design_docs/planned/v0_3_18/AILANG_EASE_OF_USE_ASSESSMENT.md,12735,1729,396
design_docs/planned/v0_3_18/README.md,4617,600,133
design_docs/planned/v0_3_18/m-dx4-coreti-population-gaps.md,20150,2910,531
design_docs/planned/v0_3_18/m-dx6-pipeline-visualization.md,13026,1879,410
design_docs/planned/v0_3_18/m-dx7-ast-inspection-json.md,13615,1922,467
design_docs/planned/v0_3_20/DESIGN-REVIEW-CHANGES.md,9091,1208,289
design_docs/planned/v0_3_20/m-claude-code-integration-v2.md,25483,3243,627
design_docs/planned/v0_3_21/m-parser-regression-fix.md,10954,1517,317
design_docs/planned/v0_3_21/m-testing-integration-complete.md,15944,2200,416
design_docs/planned/v0_3_24/m-eval-cli-args-support.md,11442,1634,320
design_docs/planned/v0_4_0/M-V3_3_planning_eval_integration.md,13056,1754,467
design_docs/planned/v0_4_0/monomorphization.md,6460,897,218
design_docs/planned/v0_4_0/v0_4_0_net_enhancements.md,17758,1993,613
design_docs/planned/v0_4_1/m-dx8-silent-failure-prevention.md,18978,2569,512
design_docs/planned/v0_4_1/m-poly-b-operator-relinking.md,23590,3244,532
design_docs/planned/v0_4_2/M-TESTING-SPRINT-PLAN.md,7647,1212,222
design_docs/planned/v0_4_2/m-quasi-typed-quasiquotes.md,14677,1959,451
design_docs/planned/v0_4_2/m-testing-property-based-testing.md,12883,1824,408
docs/BENCHMARK_COMPARISON.md,2005,360,58
docs/CLAUDE_CODE_SETUP.md,10230,1407,423
docs/DOCUMENTATION_CLEANUP_SUMMARY.md,6689,867,224
docs/FINAL_SUMMARY.md,10669,1631,398
docs/LIMITATIONS.md,7862,1141,258
docs/MULTI_PROVIDER_AGENT_SETUP.md,12756,1695,497
docs/README.md,3126,398,118
docs/TESTING.md,12560,1857,642
docs/VISION.md,9520,1324,270
docs/architecture/ANF.md,2348,342,85
docs/architecture/types.md,6624,759,186
docs/docs/benchmarks/performance.md,5625,875,135
docs/docs/docs/benchmarks/performance.md,0,0,0
docs/docs/examples/ai-api-integration.md,11427,1345,456
docs/docs/guides/benchmarking.md,9549,1395,361
docs/docs/guides/development.md,7320,1024,235
docs/docs/guides/evaluation/architecture.md,7075,850,252
docs/docs/guides/evaluation/baseline-tests.md,10785,1558,467
docs/docs/guides/evaluation/eval-loop.md,9193,1207,369
docs/docs/guides/evaluation/go-implementation.md,9630,1135,338
docs/docs/guides/evaluation/migration-guide.md,4650,614,164
docs/docs/guides/evaluation/model-configuration.md,7687,1021,330
docs/docs/guides/wasm-integration.md,6974,879,347
docs/docs/prompts/index.md,1595,245,52
docs/docs/prompts/python.md,849,135,31
docs/docs/prompts/v0.3.6.md,14773,2337,570
docs/docs/prompts/v0.3.8.md,15750,2501,612
docs/docs/reference/implementation-status.md,9607,1341,207
docs/docs/reference/language-syntax.md,6348,1021,302
docs/docs/reference/no-loops.md,10655,1476,458
docs/docs/reference/repl-commands.md,2850,436,105
docs/guides/adding-operators.md,3109,409,91
docs/guides/evaluation/case-study-oplowering-fix.md,8797,1167,305
docs/guides/parser_development.md,18549,2256,820
docs/llms.txt,62593,9087,2431
docs/node_modules/@algolia/abtesting/README.md,3733,321,77
docs/node_modules/@algolia/autocomplete-core/README.md,678,48,17
docs/node_modules/@algolia/autocomplete-plugin-algolia-insights/README.md,548,40,15
docs/node_modules/@algolia/autocomplete-preset-algolia/README.md,397,30,15
docs/node_modules/@algolia/client-abtesting/README.md,3821,321,77
docs/node_modules/@algolia/client-insights/README.md,3805,321,77
docs/node_modules/@algolia/client-query-suggestions/README.md,3947,321,77
docs/node_modules/@algolia/client-search/README.md,3773,321,77
docs/node_modules/@algolia/events/History.md,907,142,51
docs/node_modules/@algolia/events/Readme.md,529,62,24
docs/node_modules/@algolia/ingestion/README.md,3730,321,77
docs/node_modules/@algolia/monitoring/README.md,3746,321,77
docs/node_modules/@algolia/recommend/README.md,2483,201,76
docs/node_modules/@babel/code-frame/README.md,334,41,19
docs/node_modules/@babel/compat-data/README.md,307,35,19
docs/node_modules/@babel/core/README.md,401,39,19
docs/node_modules/@babel/core/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/generator/README.md,434,41,19
docs/node_modules/@babel/helper-annotate-as-pure/README.md,382,38,19
docs/node_modules/@babel/helper-compilation-targets/README.md,376,34,19
docs/node_modules/@babel/helper-compilation-targets/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/helper-create-class-features-plugin/README.md,454,40,19
docs/node_modules/@babel/helper-create-class-features-plugin/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/helper-create-regexp-features-plugin/README.md,422,34,19
docs/node_modules/@babel/helper-create-regexp-features-plugin/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/helper-define-polyfill-provider/README.md,219,21,15
docs/node_modules/@babel/helper-globals/README.md,330,37,19
docs/node_modules/@babel/helper-member-expression-to-functions/README.md,459,38,19
docs/node_modules/@babel/helper-module-imports/README.md,355,35,19
docs/node_modules/@babel/helper-module-transforms/README.md,387,36,19
docs/node_modules/@babel/helper-optimise-call-expression/README.md,399,34,19
docs/node_modules/@babel/helper-plugin-utils/README.md,332,34,19
docs/node_modules/@babel/helper-remap-async-to-generator/README.md,410,36,19
docs/node_modules/@babel/helper-replace-supers/README.md,339,33,19
docs/node_modules/@babel/helper-skip-transparent-expression-wrappers/README.md,456,34,19
docs/node_modules/@babel/helper-string-parser/README.md,335,34,19
docs/node_modules/@babel/helper-validator-identifier/README.md,369,31,19
docs/node_modules/@babel/helper-validator-option/README.md,346,31,19
docs/node_modules/@babel/helper-wrap-function/README.md,349,36,19
docs/node_modules/@babel/helpers/README.md,302,37,19
docs/node_modules/@babel/parser/CHANGELOG.md,38238,4705,1073
docs/node_modules/@babel/parser/README.md,412,39,19
docs/node_modules/@babel/plugin-bugfix-firefox-class-in-computed-class-key/README.md,576,41,19
docs/node_modules/@babel/plugin-bugfix-safari-class-field-initializer-scope/README.md,542,38,19
docs/node_modules/@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression/README.md,652,35,19
docs/node_modules/@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining/README.md,564,36,19
docs/node_modules/@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly/README.md,570,39,19
docs/node_modules/@babel/plugin-proposal-private-property-in-object/README.md,799,69,23
docs/node_modules/@babel/plugin-syntax-dynamic-import/README.md,389,33,19
docs/node_modules/@babel/plugin-syntax-import-assertions/README.md,438,40,19
docs/node_modules/@babel/plugin-syntax-import-attributes/README.md,428,39,19
docs/node_modules/@babel/plugin-syntax-jsx/README.md,316,33,19
docs/node_modules/@babel/plugin-syntax-typescript/README.md,365,34,19
docs/node_modules/@babel/plugin-syntax-unicode-sets-regex/README.md,422,35,19
docs/node_modules/@babel/plugin-transform-arrow-functions/README.md,408,35,19
docs/node_modules/@babel/plugin-transform-async-generator-functions/README.md,474,36,19
docs/node_modules/@babel/plugin-transform-async-to-generator/README.md,429,35,19
docs/node_modules/@babel/plugin-transform-block-scoped-functions/README.md,486,42,19
docs/node_modules/@babel/plugin-transform-block-scoping/README.md,412,38,19
docs/node_modules/@babel/plugin-transform-class-properties/README.md,490,45,19
docs/node_modules/@babel/plugin-transform-class-static-block/README.md,415,33,19
docs/node_modules/@babel/plugin-transform-classes/README.md,360,34,19
docs/node_modules/@babel/plugin-transform-computed-properties/README.md,432,35,19
docs/node_modules/@babel/plugin-transform-destructuring/README.md,396,34,19
docs/node_modules/@babel/plugin-transform-dotall-regex/README.md,421,39,19
docs/node_modules/@babel/plugin-transform-duplicate-keys/README.md,421,38,19
docs/node_modules/@babel/plugin-transform-duplicate-named-capturing-groups-regex/README.md,565,39,19
docs/node_modules/@babel/plugin-transform-dynamic-import/README.md,396,32,19
docs/node_modules/@babel/plugin-transform-explicit-resource-management/README.md,492,37,19
docs/node_modules/@babel/plugin-transform-exponentiation-operator/README.md,449,34,19
docs/node_modules/@babel/plugin-transform-export-namespace-from/README.md,435,34,19
docs/node_modules/@babel/plugin-transform-for-of/README.md,356,34,19
docs/node_modules/@babel/plugin-transform-function-name/README.md,414,36,19
docs/node_modules/@babel/plugin-transform-json-strings/README.md,429,40,19
docs/node_modules/@babel/plugin-transform-literals/README.md,392,38,19
docs/node_modules/@babel/plugin-transform-logical-assignment-operators/README.md,508,36,19
docs/node_modules/@babel/plugin-transform-member-expression-literals/README.md,484,38,19
docs/node_modules/@babel/plugin-transform-modules-amd/README.md,395,36,19
docs/node_modules/@babel/plugin-transform-modules-commonjs/README.md,425,36,19
docs/node_modules/@babel/plugin-transform-modules-systemjs/README.md,425,36,19
docs/node_modules/@babel/plugin-transform-modules-umd/README.md,395,36,19
docs/node_modules/@babel/plugin-transform-named-capturing-groups-regex/README.md,490,37,19
docs/node_modules/@babel/plugin-transform-new-target/README.md,381,33,19
docs/node_modules/@babel/plugin-transform-nullish-coalescing-operator/README.md,465,33,19
docs/node_modules/@babel/plugin-transform-numeric-separator/README.md,451,39,19
docs/node_modules/@babel/plugin-transform-object-rest-spread/README.md,423,36,19
docs/node_modules/@babel/plugin-transform-object-super/README.md,390,35,19
docs/node_modules/@babel/plugin-transform-optional-catch-binding/README.md,437,33,19
docs/node_modules/@babel/plugin-transform-optional-chaining/README.md,446,39,19
docs/node_modules/@babel/plugin-transform-parameters/README.md,395,37,19
docs/node_modules/@babel/plugin-transform-private-methods/README.md,415,35,19
docs/node_modules/@babel/plugin-transform-private-property-in-object/README.md,491,40,19
docs/node_modules/@babel/plugin-transform-property-literals/README.md,442,39,19
docs/node_modules/@babel/plugin-transform-react-constant-elements/README.md,486,43,19
docs/node_modules/@babel/plugin-transform-react-display-name/README.md,428,34,19
docs/node_modules/@babel/plugin-transform-react-jsx/README.md,375,35,19
docs/node_modules/@babel/plugin-transform-react-jsx-development/README.md,450,37,19
docs/node_modules/@babel/plugin-transform-react-pure-annotations/README.md,464,39,19
docs/node_modules/@babel/plugin-transform-regenerator/README.md,410,38,19
docs/node_modules/@babel/plugin-transform-regexp-modifiers/README.md,419,34,19
docs/node_modules/@babel/plugin-transform-reserved-words/README.md,405,36,19
docs/node_modules/@babel/plugin-transform-runtime/README.md,440,42,19
docs/node_modules/@babel/plugin-transform-runtime/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/plugin-transform-shorthand-properties/README.md,438,35,19
docs/node_modules/@babel/plugin-transform-spread/README.md,354,34,19
docs/node_modules/@babel/plugin-transform-sticky-regex/README.md,412,38,19
docs/node_modules/@babel/plugin-transform-template-literals/README.md,420,35,19
docs/node_modules/@babel/plugin-transform-typeof-symbol/README.md,495,47,19
docs/node_modules/@babel/plugin-transform-typescript/README.md,379,33,19
docs/node_modules/@babel/plugin-transform-unicode-escapes/README.md,408,35,19
docs/node_modules/@babel/plugin-transform-unicode-property-regex/README.md,477,39,19
docs/node_modules/@babel/plugin-transform-unicode-regex/README.md,396,35,19
docs/node_modules/@babel/plugin-transform-unicode-sets-regex/README.md,436,35,19
docs/node_modules/@babel/preset-env/CONTRIBUTING.md,3735,367,94
docs/node_modules/@babel/preset-env/README.md,453,42,19
docs/node_modules/@babel/preset-env/node_modules/semver/README.md,16974,2613,443
docs/node_modules/@babel/preset-modules/README.md,7155,1008,171
docs/node_modules/@babel/preset-react/README.md,458,42,19
docs/node_modules/@babel/preset-typescript/README.md,481,40,19
docs/node_modules/@babel/runtime/README.md,267,32,19
docs/node_modules/@babel/runtime-corejs3/README.md,334,35,19
docs/node_modules/@babel/template/README.md,444,43,19
docs/node_modules/@babel/traverse/README.md,525,54,19
docs/node_modules/@babel/types/README.md,446,46,19
docs/node_modules/@braintree/sanitize-url/CHANGELOG.md,2276,293,101
docs/node_modules/@braintree/sanitize-url/README.md,1381,100,39
docs/node_modules/@colors/colors/README.md,4484,539,219
docs/node_modules/@discoveryjs/json-ext/README.md,8705,941,256
docs/node_modules/@docsearch/css/README.md,512,55,27
docs/node_modules/@docsearch/react/README.md,814,86,43
docs/node_modules/@docsearch/react/node_modules/@algolia/client-analytics/README.md,3821,321,77
docs/node_modules/@docsearch/react/node_modules/@algolia/client-personalization/README.md,3917,321,77
